% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.549603320e+03 +3.549603320e+03 +3.087513320e+03 +3.087513320e+03 -4.4025e+00 -1.8882e+00 -3.8545e+00 -4.5973e+00 -2.9841e+00 -2.1123e+00 +2.7871e+00 -9.9852e-01 -3.9008e+00 +2.4957e+00 -1.9699e+00 -2.3589e-02 -5.3535e-01 +3.8360e+00 -1.9881e+00 -2.2060e+00 -1.9468e+00 -4.8675e+00 +4.1884e+00 -3.5929e+00
3 +1.827133367e+03 +1.827133367e+03 +1.365043367e+03 +1.365043367e+03 -4.0363e+00 -2.2884e+00 -1.8198e+00 +4.6055e+00 -1.1593e+00 +1.7792e+00 -4.5151e+00 -1.7950e+00 +1.7393e+00 +6.7948e-01 +2.9979e+00 -2.2458e+00 -1.5637e+00 -7.8960e-01 -4.6200e+00 +2.6816e+00 -7.4428e-01 -4.7087e+00 -4.3015e+00 +1.9810e+00
9 +1.429225666e+03 +1.429225666e+03 +9.671356663e+02 +9.671356663e+02 -4.7493e+00 +4.3792e+00 +3.2656e+00 -4.4580e-01 +2.7251e+00 -4.7323e+00 -2.7143e+00 -4.3647e+00 -1.7795e+00 -3.3382e-01 +3.3356e+00 -2.2351e+00 -6.3731e-01 +3.0086e+00 -2.0017e+00 -2.0690e+00 +1.8357e-01 -2.4978e+00 +3.0104e+00 -1.5982e-01
130 +8.761755906e+02 +8.761755906e+02 +4.140855906e+02 +4.140855906e+02 -3.6687e+00 +9.8755e-01 +2.3705e+00 -1.0469e-01 -2.9431e-01 +3.4285e+00 +2.9750e+00 +3.8823e-01 -1.6868e+00 +1.2000e+00 -4.6873e+00 -1.4262e+00 -2.9680e+00 +5.2384e-01 +1.7933e+00 -4.5336e+00 -2.9526e+00 +9.5780e-01 +4.1268e-01 +7.1160e-01
1782 +5.284315904e+02 +5.284315904e+02 +6.634159037e+01 +6.634159037e+01 -4.4335e+00 +1.0643e+00 +7.6621e-01 -9.4664e-01 +3.4583e-01 -2.0201e+00 +2.3030e+00 +7.1964e-01 +1.9423e+00 +7.0203e-01 +7.7591e-01 -1.1053e+00 -3.6632e+00 -6.1823e-01 +1.1667e+00 -4.8546e+00 -9.1528e-02 +4.1787e+00 +2.5430e+00 -1.9847e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.574751487e+03 +3.574751487e+03 +3.652411487e+03 +3.652411487e+03 -9.3842e-01 +2.0649e-01 -3.8277e+00 -7.1657e-01 -3.2046e-02 -1.4431e+00 -2.8861e+00 -1.6385e+00 +3.0865e+00 +1.3931e+00 +2.3264e+00 -2.6757e+00 -3.9610e+00 +4.7876e+00 +3.3992e+00 -2.4550e+00 -8.6380e-01 -2.5674e-01 -9.7294e-01 +7.9470e-01
3 +2.479654740e+03 +2.479654740e+03 +2.557314740e+03 +2.557314740e+03 +2.6647e+00 +2.8244e+00 +2.8398e+00 +1.4409e+00 +3.5907e+00 +1.0794e+00 -2.5489e-01 +1.9107e+00 -4.1418e+00 +2.9992e+00 +7.4700e-01 +7.1047e-01 +1.3477e+00 +4.4899e+00 +1.7377e+00 -3.0005e+00 +1.3285e-03 +3.6470e+00 -2.2914e+00 -1.2062e-01
6 +1.282012246e+03 +1.282012246e+03 +1.359672246e+03 +1.359672246e+03 -2.8120e+00 +3.8692e-02 +2.0227e+00 +7.3719e-01 +2.6667e+00 -1.8075e+00 +1.5665e+00 -8.2540e-01 -2.5417e+00 -3.1137e+00 -7.1049e-01 +3.3919e+00 -3.9565e+00 +1.0813e+00 -1.3073e+00 -4.6059e+00 -1.6289e+00 -1.2029e+00 -2.4253e+00 -7.4569e-01
273 +8.131094565e+02 +8.131094565e+02 +8.907694565e+02 +8.907694565e+02 +1.5477e+00 +1.6903e+00 -3.3340e+00 -3.3763e+00 -5.1470e-01 +4.4598e+00 -4.3038e+00 +2.2286e+00 -2.5860e+00 -4.0802e+00 -1.4020e+00 +2.7088e+00 -9.8020e-01 +3.2799e+00 +2.7580e+00 -1.5123e+00 -1.6435e+00 +7.3286e-01 +1.5349e+00 -3.3023e+00
1055 +4.846426399e+02 +4.846426399e+02 +5.623026399e+02 +5.623026399e+02 -1.1197e+00 +7.6617e-01 -1.0964e+00 -4.7338e-01 +1.9549e+00 -4.9148e+00 +4.9077e-01 -4.2338e+00 +2.9383e-01 -1.5771e+00 +2.8517e+00 -1.5024e+00 +2.5033e-01 -2.9116e+00 +3.0154e+00 +6.5733e-01 +5.8430e-01 -3.3199e+00 +1.5369e+00 -2.8388e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.066417585e+03 +3.066417585e+03 +3.182097585e+03 +3.182097585e+03 -7.3100e-01 +2.2677e+00 +2.7018e+00 -1.3125e+00 +4.4511e+00 +2.1284e-01 +3.3680e+00 -3.4034e+00 -4.6360e-01 +4.3510e+00 -4.6347e+00 +3.7000e+00 +2.7190e+00 -4.8985e+00 -2.4257e+00 +1.9026e+00 -3.4037e+00 -3.4576e+00 +4.0911e+00 -3.3526e+00
