% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.284984032e+02 +1.284984032e+02 +7.614840323e+01 +7.614840323e+01 -2.6642e+00 +2.3448e+00 +2.4529e+00 -1.1874e+00 +9.7439e-01 -2.4759e+00 -4.9579e-01 -2.8345e+00 -7.2340e-01 +3.1609e+00 -3.5463e+00 -4.6183e+00 +8.9426e-01 -2.9909e+00 -1.4642e+00 +1.9511e+00 +2.4737e+00 +8.8406e-01 +1.8989e-01 -1.7787e+00
8 +4.791993593e+01 +4.791993593e+01 -4.430064066e+00 -4.430064066e+00 -4.2221e+00 -3.8484e+00 -1.0213e+00 +1.8679e-01 -4.2716e+00 -3.5305e+00 -3.8874e+00 -4.2807e+00 +9.3754e-01 -3.7670e+00 +2.3141e+00 +2.1233e+00 -5.4537e-01 -1.0128e+00 +3.6922e+00 +1.7256e+00 +3.4412e+00 +4.4243e+00 +3.7571e+00 -2.7821e+00
82 +3.099364834e+01 +3.099364834e+01 -2.135635166e+01 -2.135635166e+01 -2.2637e+00 -3.6277e-01 +3.7659e+00 +3.4989e+00 -4.3036e+00 +3.2680e+00 -3.1068e+00 -2.8623e+00 -4.7677e-01 -4.1216e+00 +1.6357e+00 -1.2485e+00 +1.2924e+00 -3.5119e+00 +8.8141e-02 -2.1639e+00 -3.5046e+00 +3.6869e+00 +2.3905e+00 -1.5893e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.050104861e+02 +2.050104861e+02 +2.547048605e+01 +2.547048605e+01 +9.2818e-01 -4.0682e+00 -1.6824e+00 +2.8427e+00 -3.0841e+00 -3.9421e+00 +3.4002e+00 +2.5117e+00 +2.1886e+00 -3.4807e+00 +4.5579e+00 -2.7138e+00 -4.8366e+00 -2.8641e+00 -1.7082e+00 -2.4001e+00 -5.0029e-01 -4.7698e+00 +4.2138e+00 -3.1848e+00
5 +1.456964176e+02 +1.456964176e+02 -3.384358242e+01 -3.384358242e+01 +1.6827e+00 +1.6150e-01 +3.8461e+00 +2.0042e+00 -3.2121e+00 +2.9947e+00 +1.7701e+00 -1.9829e-01 +8.8101e-01 -2.3638e+00 +4.2377e+00 -4.0276e+00 -1.5403e+00 -6.3828e-01 +4.4972e+00 +2.4303e+00 -1.2194e+00 -1.8312e+00 -1.1864e+00 +2.9237e+00
11 +5.834917308e+01 +5.834917308e+01 -1.211908269e+02 -1.211908269e+02 -3.3545e+00 +1.2869e+00 -3.9270e+00 +8.7307e-01 +7.3088e-02 -3.0027e+00 -3.9212e+00 +3.3732e+00 -1.1357e+00 +3.2751e+00 -2.4764e+00 +2.5005e-01 -3.4322e+00 -3.6191e-01 +1.0150e+00 +9.5614e-02 -1.7089e-01 +1.8700e+00 +2.4465e+00 +4.2462e+00
496 +3.575998085e+01 +3.575998085e+01 -1.437800192e+02 -1.437800192e+02 -5.7150e-01 -4.7692e-01 -4.2939e+00 +2.7428e-02 -3.0401e-01 +2.0346e+00 +1.6153e+00 +4.6134e+00 -1.1839e+00 +2.3077e+00 -1.6387e+00 -2.5561e+00 +8.7561e-01 +1.3563e+00 +3.4590e-02 -3.8663e+00 +3.2473e-01 +1.0810e+00 -1.5337e+00 -5.9041e-01
1495 +2.373304194e+01 +2.373304194e+01 -1.558069581e+02 -1.558069581e+02 -1.9139e+00 +3.6838e+00 -1.0367e+00 +7.9055e-01 +3.3943e+00 -1.9437e+00 +4.8408e+00 +1.1544e+00 -3.3146e+00 -2.2943e+00 +2.1146e+00 +2.0276e+00 -4.9301e+00 +2.9838e+00 +3.2327e+00 +4.2138e+00 -8.4570e-01 +4.7418e+00 +2.7847e+00 +5.5949e-02
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.005746005e+01 +9.005746005e+01 +1.673674600e+02 +1.673674600e+02 +3.5801e-01 -2.9164e-01 +1.7229e-01 +1.0533e+00 -4.0446e+00 -5.9985e-01 -2.3274e+00 -3.9428e+00 +1.8253e+00 -1.1011e+00 +3.3168e+00 +1.4732e-01 +3.9423e+00 +2.4152e+00 -3.1814e+00 -2.1779e+00 +3.3952e-01 -2.7735e+00 +1.8896e+00 -3.4172e+00
8 +6.235398173e+01 +6.235398173e+01 +1.396639817e+02 +1.396639817e+02 +3.6120e-01 +2.9029e+00 -4.1588e+00 +1.5237e+00 +3.0727e-01 +3.3215e+00 +2.1781e+00 +9.7410e-01 -1.6282e-01 +2.1745e+00 +3.2328e+00 -1.9999e+00 -9.3634e-01 -1.7973e+00 +1.7556e+00 -1.6292e+00 +2.8949e+00 +3.5954e+00 +1.2162e+00 -1.7339e+00
47 +3.638483340e+01 +3.638483340e+01 +1.136948334e+02 +1.136948334e+02 -9.6849e-01 -4.1505e+00 -3.9399e+00 +8.1591e-01 +8.8908e-01 -2.8301e+00 -4.2857e+00 -2.3519e+00 +7.4377e-02 +2.6968e-01 +2.2366e+00 +1.6835e+00 -3.1536e+00 +4.2863e+00 +4.8834e+00 +2.4529e+00 -3.1715e-01 +2.6606e+00 -7.9547e-01 +2.7294e+00
825 +1.767280751e+01 +1.767280751e+01 +9.498280751e+01 +9.498280751e+01 -4.9329e+00 -4.3521e+00 -1.6322e+00 -2.5572e+00 -1.5132e+00 -2.4943e+00 +1.6026e+00 -3.3526e+00 +4.9694e+00 +1.9516e+00 +4.3857e+00 +1.5032e+00 -9.6218e-01 +4.2585e+00 +1.1230e-01 +4.4297e+00 -4.4581e-01 +2.4754e+00 +1.8630e+00 +3.9556e+00
% function evaluation | noise-free fitness - Fopt (3.992000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.707333512e+02 +1.707333512e+02 +2.106533512e+02 +2.106533512e+02 +1.3111e+00 +2.4352e+00 +7.0325e-01 +3.0426e+00 +4.7951e+00 +2.5231e+00 -4.8980e+00 +4.6327e+00 -3.5690e+00 -4.4269e+00 -8.7455e-01 +4.4649e+00 +2.0823e+00 +4.4066e+00 -2.8638e+00 +3.4812e+00 -2.2638e+00 +7.2338e-01 -2.0181e+00 +1.7259e+00
2 +7.716772644e+01 +7.716772644e+01 +1.170877264e+02 +1.170877264e+02 +2.4424e+00 -3.0575e+00 +2.1484e-03 -2.4710e+00 +7.4703e-01 -2.9416e+00 +1.8319e+00 -3.4005e+00 +2.6613e+00 +8.1322e-01 +1.4341e+00 +8.9618e-01 -3.9517e+00 -3.6886e+00 -1.2611e+00 -1.9830e+00 +3.2676e+00 +3.5232e-01 -2.0272e+00 +1.3768e+00
23 +5.409200432e+01 +5.409200432e+01 +9.401200432e+01 +9.401200432e+01 +2.3280e+00 -1.9366e+00 -4.0136e+00 -4.2257e+00 -3.3391e+00 +3.7741e+00 +5.5086e-01 +2.8290e-01 +4.2793e+00 -6.0938e-01 -9.3112e-01 +2.4687e+00 -4.8757e+00 +1.7995e+00 -3.4571e+00 -2.7925e+00 +3.8963e-01 -2.7676e+00 -4.5702e+00 -4.2482e+00
65 +3.384959469e+01 +3.384959469e+01 +7.376959469e+01 +7.376959469e+01 +4.3645e+00 +3.4987e+00 +1.1392e+00 +7.8279e-01 -4.5362e+00 +4.2960e+00 +2.3161e+00 +2.4740e+00 +3.8485e+00 +2.8545e+00 +4.9887e+00 +2.8845e+00 -3.4977e-02 -3.8247e+00 -1.1841e+00 +1.4324e+00 -8.7660e-01 -1.3702e+00 -2.8680e-01 -1.4723e+00
4100 +2.227909735e+01 +2.227909735e+01 +6.219909735e+01 +6.219909735e+01 +4.3278e+00 +5.3528e-01 +1.9696e+00 -3.0862e+00 -1.3166e+00 +2.0266e+00 +3.4348e+00 -1.1416e+00 +4.1401e+00 +4.2325e+00 +4.7961e+00 +5.5567e-02 -7.9601e-01 +3.4759e+00 -2.9427e+00 +2.1420e+00 -4.6420e+00 -5.0813e-01 -1.5565e+00 +7.2583e-01
% function evaluation | noise-free fitness - Fopt (-5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.389439702e+02 +1.389439702e+02 +8.233397022e+01 +8.233397022e+01 +2.4007e+00 -4.9756e+00 +3.9597e+00 +2.0602e+00 +3.3004e+00 -4.6133e+00 +1.8502e+00 -2.7315e+00 -3.9359e+00 +1.3479e+00 -6.6665e-01 -3.3058e+00 +4.7747e+00 -9.3459e-01 +3.6524e+00 +1.6476e+00 +4.6928e+00 -9.2223e-01 +2.0642e+00 -2.0538e+00
3 +5.627217082e+01 +5.627217082e+01 -3.378291788e-01 -3.378291788e-01 -2.7670e+00 +4.5313e+00 -6.0788e-01 -2.8576e+00 +6.7005e-01 +4.5824e+00 +4.2911e+00 -1.3295e+00 +1.8301e+00 +7.2505e-01 +4.1694e+00 -3.8792e+00 -2.0193e+00 -1.3859e+00 -2.0938e+00 +4.4451e+00 -4.5437e+00 -4.0469e+00 -2.8314e+00 -2.0924e+00
92 +3.040667764e+01 +3.040667764e+01 -2.620332236e+01 -2.620332236e+01 +2.2991e-01 +9.2381e-01 +2.7083e+00 -1.1900e+00 -1.8543e+00 +1.5526e+00 +4.2711e+00 -1.9215e+00 -2.3352e+00 -1.9766e+00 -3.5899e+00 +1.4900e+00 +4.6557e-01 -3.9167e+00 -4.1396e+00 +2.0083e+00 +1.9004e+00 -2.7748e-01 -3.9897e+00 +1.4434e+00
2203 +2.164907074e+01 +2.164907074e+01 -3.496092926e+01 -3.496092926e+01 -2.8318e+00 +2.6454e+00 +7.2490e-01 -7.0981e-01 +1.8794e+00 +1.4443e-01 +4.0035e-01 -3.4302e+00 -3.2100e-01 +1.3444e-01 +2.4008e+00 -1.1168e+00 -1.4989e+00 -2.3142e+00 -4.4388e-01 +4.8377e+00 -2.6003e+00 +7.3098e-01 -1.5493e+00 -2.4531e+00
% function evaluation | noise-free fitness - Fopt (5.134000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.473042830e+02 +2.473042830e+02 +2.986442830e+02 +2.986442830e+02 -3.6782e+00 +3.2956e+00 -2.9842e-01 +4.8076e+00 -3.8810e+00 -3.8111e+00 +4.3996e+00 -1.5668e+00 -6.1891e-01 -4.6410e+00 +1.7016e+00 +4.5816e-01 -1.9867e+00 -5.9049e-01 -2.0029e+00 +2.3419e+00 -1.3759e+00 -1.2694e-01 +3.7796e+00 -2.2392e+00
3 +1.316899751e+02 +1.316899751e+02 +1.830299751e+02 +1.830299751e+02 -1.2695e+00 +9.0766e-02 +1.3123e-01 +1.1396e+00 -9.8812e-01 +3.3012e+00 +4.9414e-01 +4.6587e+00 -4.1519e+00 -1.1216e+00 -1.0242e+00 +3.1962e+00 +1.2051e+00 +4.3456e+00 -2.5029e+00 -1.8211e-01 -3.5839e+00 -6.6516e-01 -9.3143e-01 -3.5515e+00
22 +7.101293686e+01 +7.101293686e+01 +1.223529369e+02 +1.223529369e+02 +7.0140e-01 +5.0786e-01 -2.5262e+00 +3.4442e+00 -6.0598e-01 -2.6872e+00 +1.7166e-01 +6.2654e-01 +4.9026e+00 +3.5480e-01 -4.8770e+00 +4.0196e-01 -1.3130e+00 -2.9228e+00 -1.5841e-01 -1.2787e+00 -1.4221e+00 +1.6514e+00 -3.3304e+00 +3.3178e+00
71 +6.178184806e+01 +6.178184806e+01 +1.131218481e+02 +1.131218481e+02 -3.4286e+00 -2.8252e+00 -3.8501e+00 +1.9872e+00 +1.6223e-01 +2.6806e+00 -1.3831e+00 +2.4832e+00 -2.8295e+00 -4.4526e+00 -3.9650e+00 +1.1599e+00 -2.7403e+00 +3.9432e+00 +2.5724e+00 +4.7399e+00 -1.9190e+00 -6.7032e-01 -3.8682e+00 -1.0178e+00
156 +2.822308095e+01 +2.822308095e+01 +7.956308095e+01 +7.956308095e+01 -2.6517e+00 -1.7501e+00 +1.4904e+00 +2.3719e+00 -3.0563e-01 +4.8060e+00 -1.9253e+00 +1.2404e+00 -4.6044e+00 +1.1382e+00 -3.6820e+00 +8.1071e-01 +1.7362e+00 -2.0795e+00 -2.0644e+00 +3.1153e+00 -8.7587e-01 -9.6037e-01 +2.6568e+00 -7.0225e-01
1561 +2.384028946e+01 +2.384028946e+01 +7.518028946e+01 +7.518028946e+01 -4.8072e+00 -1.2927e+00 +1.3473e+00 +4.2999e+00 +2.7526e+00 +4.8844e-01 -4.9436e+00 +4.2655e+00 -7.6659e-01 -1.5631e+00 -3.9775e+00 +2.8659e+00 +3.4702e+00 -1.6230e+00 -3.9391e+00 -2.9757e+00 +2.4301e-01 +1.1993e+00 -3.4847e+00 +3.7910e+00
% function evaluation | noise-free fitness - Fopt (-1.244000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.707519382e+02 +1.707519382e+02 +4.635193822e+01 +4.635193822e+01 -4.1769e+00 +2.0151e+00 +2.7828e+00 +2.6024e+00 -2.8100e-01 +4.0634e+00 +4.7207e+00 -9.1464e-01 +3.1721e+00 +1.0653e+00 -4.7314e+00 +3.4853e+00 -1.5205e+00 +1.7091e+00 -2.9031e+00 +9.3658e-01 -1.7124e+00 -3.0539e-01 -2.7458e+00 +1.7406e+00
2 +9.217209604e+01 +9.217209604e+01 -3.222790396e+01 -3.222790396e+01 +2.9417e+00 -2.3137e+00 -4.1276e-01 +2.7136e+00 -4.9383e+00 -1.3548e+00 +2.2378e+00 +2.8603e+00 +3.5580e+00 +2.7225e+00 -1.8896e+00 +3.2146e+00 -8.1696e-01 +3.4158e+00 +4.1961e+00 -2.7194e+00 -2.7622e+00 -1.2469e+00 -3.3020e+00 -1.8243e-01
10 +4.759058817e+01 +4.759058817e+01 -7.680941183e+01 -7.680941183e+01 -3.2016e+00 -2.8727e+00 -1.8364e+00 +2.5328e+00 -4.0053e+00 +5.9687e-01 +2.3182e+00 -4.7108e+00 +3.8363e+00 +1.2984e-01 +3.4267e+00 -2.7339e+00 +4.5635e+00 +4.3707e-01 +2.3551e+00 -3.6718e+00 -2.4120e-01 +1.7501e+00 +1.2513e+00 +2.3754e+00
318 +3.968655718e+01 +3.968655718e+01 -8.471344282e+01 -8.471344282e+01 +2.2005e+00 -1.1076e+00 -2.4340e+00 -4.8933e+00 -2.2887e+00 -2.1482e-01 +2.2247e+00 -2.4657e+00 +2.2564e+00 +1.2636e+00 +4.8830e+00 -3.8908e+00 +2.4691e+00 -2.3553e-01 -1.0644e+00 -1.6889e-03 -3.0900e+00 -9.5609e-02 +3.0332e+00 +2.0495e+00
1967 +2.382593901e+01 +2.382593901e+01 -1.005740610e+02 -1.005740610e+02 +2.7041e-01 +3.6842e-01 +6.3004e-01 -2.4718e+00 -6.7126e-01 -3.4365e+00 +1.6096e+00 +3.5620e+00 -3.1014e+00 +5.4293e-01 +3.6744e+00 -2.7474e+00 +1.9685e+00 -6.4418e-01 +1.0351e+00 +7.2689e-01 -4.3792e+00 +7.4467e-01 +1.6867e+00 -1.2470e+00
% function evaluation | noise-free fitness - Fopt (6.000000000000e-01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.246757252e+02 +1.246757252e+02 +1.252757252e+02 +1.252757252e+02 -4.9643e-03 -9.3204e-01 +2.8416e+00 -4.7007e+00 -3.9726e-01 -3.7307e+00 +1.3079e+00 +3.2837e+00 -1.5646e+00 -3.8013e+00 -4.9080e-03 -1.2328e+00 -2.7407e+00 +1.7886e+00 -3.6712e+00 -4.3976e+00 +3.2055e+00 -4.6739e-01 -3.3270e+00 -3.1591e+00
