% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.852083775e+02 +2.852083775e+02 +3.646883775e+02 +3.646883775e+02 -2.6723e+00 -2.0244e+00 +4.2522e+00 -4.7044e+00 +3.0365e+00 -1.1954e+00 -6.8970e-02 -2.4790e+00 +2.5307e+00 +1.1537e+00 +3.6891e+00 -4.8066e+00 -1.8547e+00 -9.8688e-01 +4.5421e-01 +3.7192e+00 +1.7326e+00 -4.1307e+00 +2.1479e+00 -2.8737e-01
3 +2.280641304e+02 +2.280641304e+02 +3.075441304e+02 +3.075441304e+02 +4.7701e+00 +1.0811e+00 +2.8874e+00 +4.7714e+00 +3.4866e+00 -2.2084e+00 -3.2978e+00 -6.5897e-01 +4.6452e-01 +8.7010e-01 -2.1446e+00 +2.1699e+00 -8.9628e-01 +4.3487e-01 -2.6332e+00 -6.7465e-01 -4.0458e+00 +7.4133e-01 +3.0818e+00 +4.3282e+00
20 +8.491258983e+01 +8.491258983e+01 +1.643925898e+02 +1.643925898e+02 -1.4573e+00 -4.8572e-01 -3.3668e+00 -9.8919e-01 -2.4495e+00 +5.7900e-01 -3.0826e+00 -5.3804e-01 -2.6374e+00 -3.1242e+00 -2.5221e+00 -1.9505e+00 +7.1614e-01 -8.4624e-01 +1.8012e+00 -1.1662e+00 +2.7617e+00 -2.2305e+00 +4.8708e+00 +1.4379e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.277830469e+02 +3.277830469e+02 +7.222630469e+02 +7.222630469e+02 -1.4902e+00 +3.3951e+00 -1.6542e-01 +3.8023e+00 +4.2775e+00 +4.2590e+00 -4.8718e+00 +6.0824e-01 +3.9794e+00 -6.8211e-01 -5.2990e-01 -2.4605e+00 +4.0592e+00 +2.8820e+00 +4.8410e-01 -6.2155e-01 -3.4057e+00 +2.0646e+00 +1.3582e+00 -4.2579e+00
5 +1.754941746e+02 +1.754941746e+02 +5.699741746e+02 +5.699741746e+02 -2.6240e+00 +3.3745e+00 -2.7303e+00 +3.2308e+00 -8.3355e-01 -3.7490e+00 +3.9086e+00 +5.3279e-01 -9.3204e-01 -1.7085e+00 +7.5851e-01 -3.1521e+00 +4.8123e+00 -1.7004e+00 -3.6857e+00 +7.2788e-01 +3.6635e+00 -1.3838e+00 +3.8992e+00 +1.5117e+00
109 +1.469819112e+02 +1.469819112e+02 +5.414619112e+02 +5.414619112e+02 -2.6366e+00 -9.2841e-01 +1.3228e+00 +4.5388e+00 -8.6439e-01 -4.8728e+00 -1.4895e+00 -2.4086e+00 -1.9938e+00 -2.0405e+00 +9.3091e-01 +3.0216e+00 +3.8859e+00 +2.9749e+00 -1.8550e+00 +2.0562e+00 +4.0741e+00 +8.1459e-01 +2.8966e+00 +6.9214e-01
116 +9.834486794e+01 +9.834486794e+01 +4.928248679e+02 +4.928248679e+02 -3.6445e+00 +6.3231e-01 -4.6965e+00 +4.8815e+00 -3.9997e+00 -4.7437e+00 +1.1466e+00 +2.7392e+00 -4.9771e-01 -2.9926e+00 +2.1462e+00 +2.4934e+00 +2.9388e+00 +4.6609e+00 +7.3231e-02 +1.6724e+00 -1.4673e+00 +6.1124e-01 -3.4423e+00 +6.8100e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.022248013e+02 +3.022248013e+02 +5.511480134e+01 +5.511480134e+01 -4.3356e+00 +1.0782e-01 -1.5870e+00 +2.2707e+00 -1.5478e+00 -2.8958e+00 +4.9639e+00 +4.2898e+00 +4.6104e+00 +1.8309e+00 -4.8465e+00 -2.0268e+00 +3.5622e+00 +1.0574e+00 -2.5788e+00 +3.1296e-02 -5.3488e-01 +4.3618e+00 +2.7587e+00 -1.4327e+00
