% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.745275104e+02 +4.745275104e+02 +4.653175104e+02 +4.653175104e+02 +3.2046e+00 +1.3015e-01 -3.9260e+00 -8.2318e-01 +1.7469e+00 +4.5083e+00 -3.1662e+00 -2.2205e+00 -4.1952e+00 +3.5728e+00 +2.3261e+00 +2.7492e+00 -3.6741e-01 -1.7032e+00 +5.0019e-01 -1.2138e-01 -4.7936e+00 +1.3006e+00 +4.4846e+00 +4.8464e+00
3 +3.441085386e+02 +3.441085386e+02 +3.348985386e+02 +3.348985386e+02 +3.3963e+00 +3.2464e+00 +3.2372e+00 -4.0310e+00 +2.9315e+00 -4.4564e+00 +4.0249e+00 -4.6920e+00 +3.1654e+00 +2.3237e+00 +9.8216e-01 -2.9428e+00 +4.2350e+00 -3.6661e+00 -2.8089e+00 +2.0438e+00 -4.6786e-01 +3.8299e+00 -1.9528e+00 +8.7948e-01
84 +2.317290680e+02 +2.317290680e+02 +2.225190680e+02 +2.225190680e+02 -4.0101e+00 -4.8037e+00 +9.8530e-02 +4.7282e+00 -2.1447e+00 -2.2255e+00 +4.6258e+00 +4.5214e+00 +1.9489e+00 -9.7101e-01 -1.2237e+00 +2.4189e-01 +2.5917e+00 -2.0997e+00 -1.8648e+00 -3.6944e+00 +9.5270e-01 +4.5436e+00 -4.8214e+00 +2.0430e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.846329421e+02 +4.846329421e+02 +1.140622942e+03 +1.140622942e+03 +4.7122e+00 -4.2658e-01 -1.5313e+00 +1.0832e+00 +3.3802e+00 +1.7476e+00 -9.1260e-01 +1.1189e+00 +4.4920e-01 -1.1769e+00 -4.8312e+00 +3.7889e+00 -3.5155e+00 -3.8035e-01 +3.9971e-01 -4.6960e+00 +3.1278e+00 +3.9993e+00 -3.1650e+00 +3.0793e+00
2 +3.395391261e+02 +3.395391261e+02 +9.955291261e+02 +9.955291261e+02 -1.3919e+00 -6.3749e-02 +3.1723e+00 +3.7657e+00 -2.8327e+00 +5.6015e-01 +3.1397e+00 -4.5047e+00 -2.9123e+00 -2.2157e+00 -3.5039e-02 +4.3999e+00 +2.4925e-01 +3.3305e+00 -4.0780e+00 +3.9332e+00 +6.5911e-01 -2.2744e-01 +2.9633e+00 +3.1885e+00
246 +2.339295322e+02 +2.339295322e+02 +8.899195322e+02 +8.899195322e+02 +4.3369e+00 +3.1940e+00 +7.3032e-01 +2.2791e+00 -3.7558e+00 -4.1460e+00 +2.6937e+00 -2.2251e+00 -3.6934e+00 -3.9841e+00 +1.1387e+00 +1.7999e+00 +8.6812e-01 -3.2839e+00 +4.3950e+00 +4.2248e-01 -2.7384e-01 -4.4337e+00 +3.0456e+00 +1.7246e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.189379287e+02 +4.189379287e+02 +4.856479287e+02 +4.856479287e+02 -4.1670e+00 +4.5978e+00 -3.4367e+00 -4.0690e+00 -1.2820e+00 +2.3135e+00 -4.8592e+00 -1.6714e+00 -1.2542e+00 -4.9110e+00 -2.4317e+00 +3.4667e+00 -4.4775e+00 -1.8055e+00 -4.0125e+00 +5.3121e-01 +2.8490e+00 +8.5890e-01 -2.5669e+00 -6.5438e-01
2 +3.734886839e+02 +3.734886839e+02 +4.401986839e+02 +4.401986839e+02 -3.5934e+00 +2.8205e+00 -2.3746e+00 +4.1169e+00 -2.9821e+00 +4.0631e+00 -3.2559e+00 +4.0494e+00 -3.7286e+00 -1.5526e+00 -3.9329e+00 -4.7731e+00 +2.4699e+00 +3.0715e+00 +2.4244e-02 -2.2807e+00 -2.8305e+00 +8.8476e-01 -1.8469e-01 +4.5120e+00
