% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.547100744e+01 +4.547100744e+01 -5.707899256e+01 -5.707899256e+01 +1.1959e-01 -1.2556e-01 +3.1804e+00 -2.6253e+00 -3.9782e+00 +1.1988e+00 -4.3882e+00 -2.0291e+00 -2.8874e+00 -1.5586e-01 -1.5220e+00 -2.5824e+00 -1.3888e+00 +3.3856e+00 +4.5387e+00 -1.8116e+00 +2.2105e-01 +5.9631e-01 +4.9217e-01 -3.9551e+00
7 +3.035926589e+01 +3.035926589e+01 -7.219073411e+01 -7.219073411e+01 -9.0446e-01 -3.3233e+00 -3.7100e-01 +6.5560e-01 +3.5896e-02 +2.8969e+00 -4.2625e-01 +1.2808e+00 -2.0529e+00 -2.7168e+00 -3.8337e-01 +2.1283e-01 -3.7703e+00 -2.7211e-01 +4.6795e+00 -2.2514e+00 +7.8537e-01 -9.1656e-02 +3.6969e-01 +1.6703e+00
9 +2.149234691e+01 +2.149234691e+01 -8.105765309e+01 -8.105765309e+01 +3.7463e+00 +2.0246e+00 +2.2503e-01 +3.5107e+00 -1.1736e+00 -1.0987e+00 -2.4351e+00 +2.6279e+00 +7.2872e-01 -2.8283e+00 +3.1533e-01 +1.2737e+00 +2.4519e+00 +4.4958e+00 +4.3710e-01 -2.2394e+00 -1.4997e+00 -3.4044e+00 -2.8458e+00 +3.4074e+00
709 +1.564712548e+01 +1.564712548e+01 -8.690287452e+01 -8.690287452e+01 -2.8044e+00 -2.2780e+00 -2.6335e+00 -1.8193e+00 -1.4688e+00 -2.0872e+00 +4.7264e+00 -1.8056e+00 +1.6962e+00 -9.2570e-01 +1.3915e+00 +4.6508e-01 +1.5563e+00 +1.5748e+00 +1.4934e-01 +4.3591e-01 +3.1968e+00 -8.2126e-01 -3.6820e-01 -8.3283e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.830070298e+01 +2.830070298e+01 +9.999070298e+01 +9.999070298e+01 +2.8102e+00 -3.9289e-01 +2.8645e+00 +3.0240e+00 -3.7170e+00 -1.8579e+00 +3.6587e+00 +2.6409e+00 +1.0772e+00 +3.5520e-01 -1.5635e+00 +1.6366e-01 -2.2578e+00 -3.2949e-01 -4.3133e+00 -2.1315e+00 +8.3645e-01 +1.3481e+00 +1.8035e+00 -2.3037e+00
8 +2.281869039e+01 +2.281869039e+01 +9.450869039e+01 +9.450869039e+01 +2.7939e-01 +4.0909e+00 -3.7082e+00 -1.6438e+00 +1.1692e+00 -1.5972e+00 +3.1836e-01 -1.2370e+00 -2.2727e+00 +2.0803e+00 -1.9018e+00 -5.7527e-01 -1.7597e+00 +3.0475e+00 -1.9157e+00 +1.6484e+00 +1.1510e+00 -1.3799e+00 +2.3705e-01 -1.9127e+00
89 +1.510388102e+01 +1.510388102e+01 +8.679388102e+01 +8.679388102e+01 +3.7008e+00 -1.4702e+00 +1.5809e+00 +4.5530e+00 +1.9284e+00 +2.0389e+00 +3.9821e+00 -8.7402e-01 +3.7444e+00 -1.6821e+00 -3.8862e+00 -3.7450e+00 -4.4593e+00 -1.2940e-01 -3.4413e-02 +2.4005e+00 -2.7325e+00 -3.7237e+00 -2.2905e+00 +1.1243e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.170496147e+01 +5.170496147e+01 +2.657149615e+02 +2.657149615e+02 +1.7484e+00 -1.2226e+00 +2.1704e+00 +1.7035e+00 +3.9568e+00 +1.0261e+00 +3.7720e+00 +3.4827e+00 -9.2299e-01 -1.5246e+00 -4.0017e+00 +3.4792e+00 -4.2947e+00 -1.2308e+00 +1.0603e-01 -4.1651e+00 -2.4039e+00 -3.7095e+00 -1.9295e+00 +4.7931e-02
