% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.121227967e+05 +1.121227967e+05 +1.115762967e+05 +1.115762967e+05 -3.5851e+00 +3.3201e+00 -2.1420e-01 -9.8743e-01 +3.1001e+00 +1.9156e+00 +4.4322e+00 -4.1766e+00 -4.1965e+00 -2.6222e+00 +4.1292e+00 +2.0166e-01 +7.1264e-01 -1.5083e+00 -1.6623e+00 -1.1112e+00 -2.4330e+00 -3.4822e+00 -4.7962e+00 -1.1913e+00
3 +6.748855339e+04 +6.748855339e+04 +6.694205339e+04 +6.694205339e+04 -3.3582e+00 -1.0504e-01 -3.0319e+00 -2.2838e+00 +2.8475e+00 +2.1522e+00 +4.3511e+00 -4.2450e+00 -1.6371e+00 +4.3896e+00 -8.9184e-01 -1.1154e+00 +4.6929e+00 -1.6550e+00 +1.0667e+00 +3.0596e-01 -1.5554e-01 -3.0613e+00 +1.0514e+00 +3.7903e+00
9 +4.552214927e+04 +4.552214927e+04 +4.497564927e+04 +4.497564927e+04 -4.6267e+00 -1.4932e+00 +3.3919e+00 +5.7893e-01 +1.6037e+00 +2.0197e-01 -3.8722e+00 -1.7103e+00 +2.3066e+00 -1.7714e+00 +2.0893e+00 +4.3567e+00 -8.4645e-01 +1.6240e+00 +3.4440e+00 +1.8438e+00 +1.4890e+00 +1.8983e-01 -2.8405e+00 -3.6428e-01
232 +3.205742304e+04 +3.205742304e+04 +3.151092304e+04 +3.151092304e+04 -3.3951e+00 -9.4671e-01 -2.8990e+00 +2.6793e+00 -2.2065e+00 -4.0746e+00 +2.5109e+00 +3.4420e+00 +2.8601e+00 +3.9687e+00 -1.3006e-01 +1.0441e+00 +9.1604e-01 -4.0413e+00 +1.2339e+00 -3.9059e+00 +2.1201e+00 +1.4296e+00 -3.2541e+00 +6.9493e-01
640 +2.071892480e+04 +2.071892480e+04 +2.017242480e+04 +2.017242480e+04 +1.9780e+00 -2.8169e+00 +4.2572e+00 +2.3812e+00 -2.2846e+00 +2.3594e-01 +9.7069e-01 +1.6777e+00 -3.0913e-01 +1.4056e-01 +3.4940e-01 +2.1154e+00 +4.7870e+00 -1.2699e+00 +1.6032e+00 -1.5287e+00 +2.3454e-01 -3.5685e+00 -2.8957e+00 +5.4164e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.953592034e+05 +1.953592034e+05 +1.963592034e+05 +1.963592034e+05 +4.6153e+00 -4.2562e-01 +4.1157e+00 +2.1459e+00 +1.2718e+00 -3.5237e+00 -1.2014e+00 +1.9075e-01 -2.5777e+00 +4.7740e-01 +1.4036e+00 -1.8286e+00 -4.7677e+00 +4.5314e+00 -1.7836e+00 +1.4176e+00 -2.7380e+00 +3.4079e+00 +1.8822e+00 -1.3173e+00
4 +1.500158644e+05 +1.500158644e+05 +1.510158644e+05 +1.510158644e+05 +2.3885e+00 -9.1021e-01 -4.9360e+00 -1.4251e+00 +3.0692e-01 +4.1218e+00 -3.2467e+00 +3.4313e-01 +4.1149e+00 +4.3337e+00 +4.5189e-01 -3.7672e+00 +1.1348e+00 -1.0664e+00 +3.5702e+00 -4.2027e+00 +3.4309e+00 -3.2521e+00 -8.4856e-01 -1.6326e+00
12 +8.128092189e+04 +8.128092189e+04 +8.228092189e+04 +8.228092189e+04 +1.7272e+00 -3.1465e-01 -1.0873e-01 -4.8474e+00 -1.8977e+00 -8.0587e-01 +3.2965e+00 -4.4553e-01 +3.2091e+00 +1.6969e+00 -2.6441e+00 -1.7198e+00 +1.7266e+00 -3.4126e+00 -5.8494e-01 -4.1981e+00 -4.3513e+00 +2.5548e+00 -2.6996e+00 +3.1889e+00
61 +4.354009267e+04 +4.354009267e+04 +4.454009267e+04 +4.454009267e+04 -1.3718e+00 -2.8482e+00 +3.0548e-01 -8.4914e-01 -1.0619e+00 -4.1374e+00 -4.1603e+00 -4.6193e-01 +1.4973e+00 -2.0283e-02 -5.2233e-01 -4.4648e+00 +1.1376e+00 +1.9363e-01 -3.3957e+00 -4.5441e+00 -5.5585e-01 +8.8433e-01 -3.0925e+00 +2.2326e-01
